id,name,gender,number,output
1,Crin,Female,4,0
2,Lori,Female,83,1
3,Lib,Female,84,1
4,Lina,Polygender,46,1
5,Maryl,Female,47,1
6,Nyssa,Female,3,1
7,Forrester,Male,93,1
8,Pascale,Male,60,1
9,Patsy,Agender,84,0
10,Farris,Male,63,1
11,Norene,Female,12,0
12,Linus,Male,50,0
13,Boycie,Male,30,1
14,Dukey,Male,30,1
15,Florinda,Female,13,0
16,Dianna,Female,1,1
17,Trstram,Male,36,1
18,Sibylle,Female,15,0
19,Asia,Female,33,0
20,Jarrad,Polygender,65,0
21,Tallou,Genderqueer,57,1
22,Emilia,Female,96,0
23,Benson,Male,73,1
24,Steffie,Female,21,1
25,Jeremias,Male,14,1
26,Urson,Genderqueer,56,1
27,Selma,Female,52,1
28,Arliene,Genderfluid,28,0
29,Vonni,Female,60,0
30,Remus,Male,96,1
31,Berk,Male,81,0
32,Clayson,Male,22,0
33,Orel,Female,18,1
34,Tyson,Male,19,0
35,Theodor,Male,60,0
36,Boyce,Male,31,0
37,Constantine,Male,17,0
38,Valerie,Female,53,0
39,Kristien,Female,35,1
40,Guthrie,Male,30,1
41,Shaun,Female,44,0
42,Tatum,Female,14,1
43,Eryn,Female,43,0
44,Lucila,Female,9,1
45,Taryn,Female,92,0
46,Edi,Female,8,1
47,Adelice,Genderfluid,46,1
48,Joycelin,Female,50,0
49,Vince,Non-binary,70,0
50,Reese,Male,96,0
51,Eveline,Female,79,0
52,Gregorius,Male,16,0
53,Hillie,Male,76,1
54,Aubine,Female,43,1
55,Moselle,Female,61,1
56,Mose,Bigender,78,0
57,Maynard,Male,56,0
58,Koenraad,Male,20,0
59,Devy,Male,61,1
60,Trudey,Female,92,0
61,Alvinia,Female,44,0
62,Gennifer,Female,89,0
63,Saw,Male,8,1
64,Murray,Genderfluid,72,1
65,Kahaleel,Non-binary,92,0
66,Goddard,Male,27,1
67,Caesar,Male,13,0
68,Drucie,Agender,84,1
69,Violetta,Female,71,0
70,Nicolis,Male,52,1
71,Lauren,Female,58,0
72,Angela,Female,55,1
73,Nickie,Female,62,1
74,Marlee,Female,13,1
75,Bogart,Male,47,1
76,Nahum,Male,95,1
77,Griswold,Male,93,0
78,Wilow,Female,45,0
79,Amalia,Genderqueer,49,1
80,Wyn,Male,49,0
81,Edmon,Male,43,1
82,Nils,Male,58,1
83,Wang,Genderqueer,7,1
84,Buiron,Male,17,0
85,Walton,Male,47,1
86,Gilemette,Female,58,0
87,Hort,Male,40,0
88,Ailsun,Female,59,1
89,Locke,Male,80,0
90,Mariette,Female,27,1
91,Nickolai,Male,83,0
92,Rubin,Male,38,1
93,Alfonse,Male,37,0
94,Antonio,Male,40,0
95,Monah,Female,4,1
96,Cletis,Male,62,1
97,Yardley,Male,61,0
98,Marla,Female,35,0
99,Farly,Genderqueer,99,1
100,Lowell,Male,99,1
101,Consuela,Female,1,1
102,Shanon,Female,67,1
103,Dotti,Female,72,1
104,Martynne,Female,42,1
105,Verene,Female,55,0
106,Caesar,Male,11,1
107,Dionisio,Male,47,0
108,Orton,Non-binary,44,1
109,Tirrell,Male,90,0
110,Mitzi,Female,84,0
111,Derwin,Male,35,1
112,Werner,Male,78,1
113,Zeke,Male,94,0
114,Tammi,Female,83,1
115,Ezequiel,Male,62,1
116,Morgana,Female,21,1
117,Constantino,Male,52,1
118,Ester,Female,89,0
119,Robers,Male,18,0
120,Blakelee,Female,68,1
121,Ddene,Female,86,1
122,Idette,Female,33,1
123,Meir,Male,80,0
124,Roley,Male,23,0
125,Iorgos,Male,27,0
126,Noami,Female,76,1
127,Catarina,Female,26,0
128,Agustin,Male,8,0
129,Saundra,Female,100,1
130,Liva,Female,12,1
131,Chelsey,Female,63,1
132,Port,Male,76,0
133,Alissa,Female,58,1
134,Biddy,Female,100,1
135,Genvieve,Female,83,0
136,Raymond,Male,76,1
137,Ring,Male,37,0
138,Normie,Male,63,1
139,Manon,Female,84,1
140,Olivia,Genderfluid,99,0
141,Leonerd,Male,3,1
142,Annamarie,Female,85,0
143,Dulciana,Female,86,1
144,Roanne,Non-binary,58,0
145,Diena,Female,71,1
146,Lawry,Male,3,1
147,Eberto,Male,57,1
148,Fredra,Female,8,0
149,Melamie,Female,16,1
150,Any,Male,29,0
151,Edd,Male,90,1
152,Cybill,Female,11,0
153,Skelly,Male,11,1
154,Dare,Male,58,0
155,Derry,Non-binary,63,0
156,Nicolina,Female,15,0
157,Starlene,Female,32,1
158,Kris,Male,97,0
159,Gunther,Male,100,1
160,Molli,Female,17,0
161,Ken,Non-binary,21,1
162,Renata,Female,85,0
163,Derril,Male,37,0
164,Anjanette,Female,4,0
165,Herman,Male,18,1
166,Clerissa,Female,11,0
167,Dulcine,Female,92,0
168,Myrwyn,Male,13,1
169,Aland,Male,7,0
170,Consuela,Female,85,1
